Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,9000.000000,9000.000000,9000.000000,9000.000000,8876.390625,0
2019-04-04,9000.000000,9125.000000,8975.000000,9050.000000,8925.704102,9460500
2019-04-05,9075.000000,9100.000000,9000.000000,9075.000000,8950.361328,4860900
2019-04-08,9075.000000,9100.000000,8950.000000,9025.000000,8901.047852,7669000
2019-04-09,9025.000000,9275.000000,9025.000000,9250.000000,9122.957031,5422000
2019-04-10,9300.000000,9350.000000,9150.000000,9300.000000,9172.270508,6151300
2019-04-11,9375.000000,9400.000000,9050.000000,9050.000000,8925.704102,6438100
2019-04-12,9050.000000,9075.000000,8950.000000,9050.000000,8925.704102,5680700
2019-04-15,9050.000000,9125.000000,9025.000000,9050.000000,8925.704102,7383800
2019-04-16,9050.000000,9150.000000,9025.000000,9075.000000,8950.361328,9366900
2019-04-17,9075.000000,9075.000000,9075.000000,9075.000000,8950.361328,0
2019-04-18,9200.000000,9250.000000,8975.000000,9100.000000,8975.017578,9814000
2019-04-19,9100.000000,9100.000000,9100.000000,9100.000000,8975.017578,0
2019-04-22,9100.000000,9150.000000,9000.000000,9025.000000,8901.047852,4508800
2019-04-23,9025.000000,9250.000000,9000.000000,9200.000000,9073.644531,7391100
2019-04-24,9275.000000,9275.000000,9150.000000,9200.000000,9073.644531,4551000
2019-04-25,9200.000000,9225.000000,9075.000000,9075.000000,8950.361328,8457600
2019-04-26,9125.000000,9250.000000,9075.000000,9175.000000,9048.987305,9330800
2019-04-29,9250.000000,9325.000000,9150.000000,9300.000000,9172.270508,7772200
2019-04-30,9475.000000,9800.000000,9475.000000,9725.000000,9591.433594,23070300
2019-05-01,9725.000000,9725.000000,9725.000000,9725.000000,9591.433594,0
2019-05-02,9725.000000,9800.000000,9600.000000,9700.000000,9566.777344,9553100
2019-05-03,9700.000000,9700.000000,9450.000000,9625.000000,9492.806641,7205900
2019-05-06,9425.000000,9650.000000,9425.000000,9600.000000,9468.150391,4011200
2019-05-07,9650.000000,9725.000000,9625.000000,9700.000000,9566.777344,5647100
2019-05-08,9600.000000,9700.000000,9525.000000,9700.000000,9566.777344,4525600
2019-05-09,9800.000000,9800.000000,9600.000000,9675.000000,9542.120117,7134000
2019-05-10,9600.000000,9900.000000,9575.000000,9825.000000,9690.060547,8510000
2019-05-13,9850.000000,9900.000000,9625.000000,9625.000000,9492.806641,5054900
2019-05-14,9400.000000,9750.000000,9350.000000,9650.000000,9517.463867,5829500
2019-05-15,9500.000000,9650.000000,9500.000000,9525.000000,9394.180664,6269800
2019-05-16,9475.000000,9725.000000,9275.000000,9500.000000,9369.523438,5387200
2019-05-17,9500.000000,9550.000000,9250.000000,9300.000000,9172.270508,3029000
2019-05-20,9300.000000,9450.000000,9075.000000,9375.000000,9246.240234,2840200
2019-05-21,9375.000000,9650.000000,9375.000000,9625.000000,9492.806641,2987200
2019-05-22,9650.000000,9675.000000,9325.000000,9500.000000,9369.523438,2243500
2019-05-23,9550.000000,9750.000000,9500.000000,9725.000000,9591.433594,3942700
2019-05-24,9750.000000,9775.000000,9550.000000,9700.000000,9566.777344,2087200
2019-05-27,9800.000000,9800.000000,9675.000000,9775.000000,9640.747070,2815700
